151,101,119
64,111,115
70,74,140
64,95,124
48,95,122
32,96,147
57,67,115
6,83,96
22,111,123
4,82,114
5,144,115
131,143,115
127,143,86
147,147,87
86,82,93
86,89,131
113,75,104
89,68,101
211,119,109
101,66,130
135,96,171
52,95,130
72,101,136
52,96,114
85,149,115
56,151,110
64,154,144
94,32,147
73,95,110
98,55,93
88,101,103
79,63,128
78,40,175
85,65,115
105,61,114
114,115,122
98,64,159
58,91,116
62,91,72
70,95,94
36,159,159
75,74,72
74,74,96
105,119,115
45,87,107
0,158,141
7,83,126
6,64,167
179,101,131
120,128,139
96,159,123
66,66,144
67,67,96
116,69,138
75,78,119
124,104,89
127,76,116
124,74,138
9,104,115
7,104,96
0,187,125
94,123,90
127,127,120
99,125,123
99,78,123
34,127,116
48,103,116
58,64,191
124,96,107
122,95,106
219,103,111
85,70,130
116,147,143
86,88,138
63,119,122
68,121,123
71,122,123
65,120,122
109,61,262
48,55,314
71,56,256
124,388,81
207,403,85
127,390,81
170,95,126
172,114,133
175,76,209
50,82,122
59,85,123
52,139,126
59,85,119
105,97,204
159,83,98
105,79,118
5,83,106
47,87,107
0,139,197
9,84,120
130,104,143
112,175,124
128,159,111
81,101,155
128,143,113
74,74,128
116,83,112
94,75,110
68,179,109
26,101,101
8,148,129
25,100,102
66,98,97
44,215,102
70,182,101
95,148,149
64,131,119
66,86,140
107,108,125
34,74,117
32,128,138
35,75,106
97,90,114
146,74,104
97,64,143
96,103,124
115,116,138
109,112,121
132,146,111
44,119,88
72,100,110
67,79,130
7,91,129
51,95,132
5,90,144
23,99,129
117,123,126
119,104,143
122,125,114
107,74,98
103,71,114
98,71,132
128,71,97
134,73,98
175,73,128
0,111,111
4,111,144
0,167,121
7,111,114
127,107,115
86,103,127
89,82,188
51,102,125
95,83,91
54,80,108
96,139,95
139,100,125
199,155,96
140,103,101
80,99,103
63,93,118
55,127,124
42,108,126
16,139,114
16,147,115
68,95,110
66,83,117
80,115,111
66,100,159
48,99,123
63,75,118
63,50,186
187,79,120
132,96,143
160,99,152
39,90,114
38,80,143
45,94,138
32,138,121
74,74,108
77,76,130
75,72,145
11,78,131
0,127,118
26,151,98
5,95,114
112,139,114
